"Nutriente";"Colunas TACO usadas";"Consumo estimado";"Mínimo exigido";"Máximo permitido";"Unidade";"Atendeu"
"Energia";"Energia (kcal)";"4097,999999999973";"4098";"4302,900000000001";"kcal/dia";"True"
"Carboidrato";"Carboidrato (g)";"591,531987605186";"461";"665,8";"g/dia";"True"
"Proteína";"Proteína (g)";"108,79999999999971";"108,8";"358,5";"g/dia";"True"
"Lipídeos totais";"Lipídeos (g)";"159,3";"91,1";"159,3";"g/dia";"True"
"Fibra Alimentar";"Fibra Alimentar (g)";"57,39999999999997";"57,4";"";"g/dia";"True"
"Ácidos graxos saturados";"Saturados (g)";"32,52765117863694";"";"45,5";"g/dia";"True"
"Ácidos graxos trans";"18:1t (g), 18:2t (g)";"0";"0";"0";"g/dia";"True"
"Ácido linoleico n-6";"18:2 n-6 (g)";"42,07100694961551";"22,8";"45,5";"g/dia";"True"
"Ácido alfa-linolênico n-3";"18:3 n-3 (g)";"2,7";"2,7";"5,5";"g/dia";"True"
"Vitamina A";"RAE (mcg)";"900";"900";"";"mcg RAE/dia";"True"
"Tiamina";"Tiamina (mg)";"1,6141191069467526";"1,2";"";"mg/dia";"True"
"Riboflavina";"Riboflavina (mg)";"1,3000000000000003";"1,3";"";"mg/dia";"True"
"Piridoxina / Vitamina B6";"Piridoxina (mg)";"1,2999999999999996";"1,3";"";"mg/dia";"True"
"Niacina";"Niacina (mg)";"28,097923442526017";"16";"";"mg NE/dia";"True"
"Vitamina C";"Vitamina C (mg)";"89,99999999999955";"90";"";"mg/dia";"True"
"Cálcio";"Cálcio (mg)";"1317,2891326510373";"1000";"";"mg/dia";"True"
"Magnésio";"Magnésio (mg)";"725,9095954071881";"400";"";"mg/dia";"True"
"Manganês";"Manganês (mg)";"5,717936774761575";"2,3";"";"mg/dia";"True"
"Fósforo";"Fósforo (mg)";"1943,123006476686";"700";"";"mg/dia";"True"
"Ferro";"Ferro (mg)";"24,113017762401242";"8";"";"mg/dia";"True"
"Sódio";"Sódio (mg)";"1755,4157368706651";"1500";"2300";"mg/dia";"True"
"Potássio";"Potássio (mg)";"4115,07765494847";"3400";"";"mg/dia";"True"
"Cobre";"Cobre (mg)";"3,0221823381532826";"0,9";"";"mg/dia";"True"
"Zinco";"Zinco (mg)";"16,006157501721088";"11";"";"mg/dia";"True"
"Histidina";"Histidina (g)";"1,615714571195649";"1,36";"";"g/dia";"True"
"Isoleucina";"Isoleucina (g)";"3,5088323543124322";"2,72";"";"g/dia";"True"
"Leucina";"Leucina (g)";"6,66140714185398";"5,304";"";"g/dia";"True"
"Lisina";"Lisina (g)";"4,105113557703104";"4,08";"";"g/dia";"True"
"Metionina + Cistina";"Metionina (g), Cistina (g)";"2,04";"2,04";"";"g/dia";"True"
"Fenilalanina + Tirosina";"Fenilalanina (g), Tirosina (g)";"7,400254588525302";"3,4";"";"g/dia";"True"
"Treonina";"Treonina (g)";"2,7050304721479943";"2,04";"";"g/dia";"True"
"Triptofano";"Triptofano (g)";"0,5440000000000005";"0,544";"";"g/dia";"True"
"Valina";"Valina (g)";"4,095680681807584";"3,536";"";"g/dia";"True"
