"Estágio de vida";"EER usado (kcal/dia)";"Nutriente";"Colunas TACO usadas";"Tipo";"Alvo";"Mínimo";"Máximo";"Unidade";"Base científica";"Observações";"Meta calórica para LP (kcal/dia)";"Déficit aplicado (kcal/dia)"
"male_19_30";"4098";"Energia";"Energia (kcal)";"EER";"1993,1";"1993,1";"2098";"kcal/dia";"Equação NASEM 2023 por sexo, idade, altura, peso e atividade";"";"2098";"2000"
"male_19_30";"4098";"Carboidrato";"Carboidrato (g)";"RDA + AMDR";"130";"236,025";"340,925";"g/dia";"DRI: RDA e 45-65% da energia";"";"2098";"2000"
"male_19_30";"4098";"Proteína";"Proteína (g)";"RDA por kg + AMDR";"108,8";"52,45";"183,575";"g/dia";"0.8 g/kg/dia, com mínimo de referência 56 g/dia";"";"2098";"2000"
"male_19_30";"4098";"Lipídeos totais";"Lipídeos (g)";"AMDR";"";"46,62222222222223";"81,58888888888889";"g/dia";"Percentual de energia vindo de gorduras totais";"";"2098";"2000"
"male_19_30";"4098";"Fibra Alimentar";"Fibra Alimentar (g)";"AI estimada por energia";"29,372";"29,372";"";"g/dia";"14 g/1000 kcal; tabela DRI também informa AI por estágio";"AI do estágio de vida na tabela: 38 g/dia";"2098";"2000"
"male_19_30";"4098";"Ácidos graxos saturados";"Saturados (g)";"limite";"";"";"23,311111111111114";"g/dia";"Diretrizes alimentares: <10% da energia; DRI: tão baixo quanto possível";"";"2098";"2000"
"male_19_30";"4098";"Ácidos graxos trans";"18:1t (g), 18:2t (g)";"limite";"0";"0";"0";"g/dia";"DRI: tão baixo quanto possível em dieta nutricionalmente adequada";"";"2098";"2000"
"male_19_30";"4098";"Colesterol";"Colesterol (mg)";"sem RDA/AI";"";"";"";"mg/dia";"DRI: tão baixo quanto possível; sem meta numérica individual";"";"2098";"2000"
"male_19_30";"4098";"Ácido linoleico n-6";"18:2 n-6 (g)";"AI + AMDR";"17";"11,655555555555557";"23,311111111111114";"g/dia";"DRI para ácido graxo essencial n-6";"";"2098";"2000"
"male_19_30";"4098";"Ácido alfa-linolênico n-3";"18:3 n-3 (g)";"AI + AMDR";"1,6";"1,3986666666666667";"2,7973333333333334";"g/dia";"DRI para ácido graxo essencial n-3";"";"2098";"2000"
"male_19_30";"4098";"Vitamina A";"RAE (mcg), RE (mcg), Retinol (mcg)";"RDA/AI";"900";"";"";"mcg RAE/dia";"DRI em Retinol Activity Equivalents";"Compare preferencialmente com RAE; Retinol e RE são formas/equivalências da tabela.";"2098";"2000"
"male_19_30";"4098";"Tiamina";"Tiamina (mg)";"RDA/AI";"1,2";"";"";"mg/dia";"DRI";"";"2098";"2000"
"male_19_30";"4098";"Riboflavina";"Riboflavina (mg)";"RDA/AI";"1,3";"";"";"mg/dia";"DRI";"";"2098";"2000"
"male_19_30";"4098";"Piridoxina / Vitamina B6";"Piridoxina (mg)";"RDA/AI";"1,3";"";"";"mg/dia";"DRI";"";"2098";"2000"
"male_19_30";"4098";"Niacina";"Niacina (mg)";"RDA/AI";"16";"";"";"mg NE/dia";"DRI em equivalentes de niacina";"";"2098";"2000"
"male_19_30";"4098";"Vitamina C";"Vitamina C (mg)";"RDA/AI";"90";"";"";"mg/dia";"DRI";"";"2098";"2000"
"male_19_30";"4098";"Cálcio";"Cálcio (mg)";"RDA/AI";"1000";"";"";"mg/dia";"DRI";"";"2098";"2000"
"male_19_30";"4098";"Magnésio";"Magnésio (mg)";"RDA/AI";"400";"";"";"mg/dia";"DRI";"";"2098";"2000"
"male_19_30";"4098";"Manganês";"Manganês (mg)";"AI";"2,3";"";"";"mg/dia";"DRI";"";"2098";"2000"
"male_19_30";"4098";"Fósforo";"Fósforo (mg)";"RDA/AI";"700";"";"";"mg/dia";"DRI";"";"2098";"2000"
"male_19_30";"4098";"Ferro";"Ferro (mg)";"RDA";"8";"";"";"mg/dia";"DRI";"Necessidade pode ser 1,8x maior em dieta vegetariana estrita.";"2098";"2000"
"male_19_30";"4098";"Sódio";"Sódio (mg)";"AI + CDRR";"1500";"";"2300";"mg/dia";"NASEM 2019: AI e limite de redução de risco crônico";"";"2098";"2000"
"male_19_30";"4098";"Potássio";"Potássio (mg)";"AI";"3400";"";"";"mg/dia";"NASEM 2019";"";"2098";"2000"
"male_19_30";"4098";"Cobre";"Cobre (mg)";"RDA/AI";"0,9";"";"";"mg/dia";"DRI; convertido de mcg para mg";"";"2098";"2000"
"male_19_30";"4098";"Zinco";"Zinco (mg)";"RDA";"11";"";"";"mg/dia";"DRI";"Necessidade pode ser até 50% maior em dietas vegetarianas estritas ricas em fitato.";"2098";"2000"
"male_19_30";"4098";"Histidina";"Histidina (g)";"requisito por kg";"1,36";"";"";"g/dia";"10 mg/kg/dia";"";"2098";"2000"
"male_19_30";"4098";"Isoleucina";"Isoleucina (g)";"requisito por kg";"2,72";"";"";"g/dia";"20 mg/kg/dia";"";"2098";"2000"
"male_19_30";"4098";"Leucina";"Leucina (g)";"requisito por kg";"5,304";"";"";"g/dia";"39 mg/kg/dia";"";"2098";"2000"
"male_19_30";"4098";"Lisina";"Lisina (g)";"requisito por kg";"4,08";"";"";"g/dia";"30 mg/kg/dia";"";"2098";"2000"
"male_19_30";"4098";"Metionina + Cistina";"Metionina (g), Cistina (g)";"requisito por kg";"2,04";"";"";"g/dia";"15 mg/kg/dia";"Use a soma das colunas TACO quando o alvo for combinado.";"2098";"2000"
"male_19_30";"4098";"Fenilalanina + Tirosina";"Fenilalanina (g), Tirosina (g)";"requisito por kg";"3,4";"";"";"g/dia";"25 mg/kg/dia";"Use a soma das colunas TACO quando o alvo for combinado.";"2098";"2000"
"male_19_30";"4098";"Treonina";"Treonina (g)";"requisito por kg";"2,04";"";"";"g/dia";"15 mg/kg/dia";"";"2098";"2000"
"male_19_30";"4098";"Triptofano";"Triptofano (g)";"requisito por kg";"0,544";"";"";"g/dia";"4 mg/kg/dia";"";"2098";"2000"
"male_19_30";"4098";"Valina";"Valina (g)";"requisito por kg";"3,536";"";"";"g/dia";"26 mg/kg/dia";"";"2098";"2000"
"male_19_30";"4098";"Umidade";"Umidade";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Energia (kJ)";"Energia (kJ)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Cinzas (g)";"Cinzas (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Mono insaturados (g)";"Mono insaturados (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Poli insaturados (g)";"Poli insaturados (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"12:0 (g)";"12:0 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"14:0 (g)";"14:0 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"16:0 (g)";"16:0 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"18:0 (g)";"18:0 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
