"Nutriente";"Consumo estimado";"Mínimo exigido";"Máximo permitido";"% do mínimo";"% do teto";"Unidade";"Status"
"Energia";"2030,8";"1993,1";"2098";"101,9";"96,8";"kcal/dia";"OK"
"Carboidrato";"242,7";"236";"340,9";"102,8";"71,2";"g/dia";"OK"
"Proteína";"108,8";"108,8";"183,6";"100";"59,3";"g/dia";"OK"
"Lipídeos totais";"81,6";"46,6";"81,6";"175";"100";"g/dia";"OK"
"Fibra Alimentar";"68,8";"29,4";"";"234,1";"";"g/dia";"OK"
"Ácidos graxos saturados";"15,9";"";"23,3";"";"68,4";"g/dia";"OK"
"Ácidos graxos trans";"0";"0";"0";"";"";"g/dia";"OK"
"Ácido linoleico n-6";"20,5";"17";"23,3";"120,8";"88,1";"g/dia";"OK"
"Ácido alfa-linolênico n-3";"1,6";"1,6";"2,8";"100";"57,2";"g/dia";"OK"
"Vitamina A";"923,2";"900";"";"102,6";"";"mcg RAE/dia";"OK"
"Tiamina";"3,1";"1,2";"";"257,9";"";"mg/dia";"OK"
"Riboflavina";"1,3";"1,3";"";"100";"";"mg/dia";"OK"
"Piridoxina / Vitamina B6";"1,3";"1,3";"";"100";"";"mg/dia";"OK"
"Niacina";"26,2";"16";"";"163,6";"";"mg NE/dia";"OK"
"Vitamina C";"372,1";"90";"";"413,4";"";"mg/dia";"OK"
"Cálcio";"1291,2";"1000";"";"129,1";"";"mg/dia";"OK"
"Magnésio";"844,4";"400";"";"211,1";"";"mg/dia";"OK"
"Manganês";"9,5";"2,3";"";"412,7";"";"mg/dia";"OK"
"Fósforo";"2048,8";"700";"";"292,7";"";"mg/dia";"OK"
"Ferro";"17";"8";"";"212,9";"";"mg/dia";"OK"
"Sódio";"2300";"1500";"2300";"153,3";"100";"mg/dia";"OK"
"Potássio";"6040,5";"3400";"";"177,7";"";"mg/dia";"OK"
"Cobre";"3,8";"0,9";"";"417,5";"";"mg/dia";"OK"
"Zinco";"19,5";"11";"";"177,1";"";"mg/dia";"OK"
"Histidina";"2,5";"1,4";"";"183,8";"";"g/dia";"OK"
"Isoleucina";"3,1";"2,7";"";"114,7";"";"g/dia";"OK"
"Leucina";"5,4";"5,3";"";"101,7";"";"g/dia";"OK"
"Lisina";"4,6";"4,1";"";"112";"";"g/dia";"OK"
"Metionina + Cistina";"2,2";"2";"";"107,3";"";"g/dia";"OK"
"Fenilalanina + Tirosina";"6,5";"3,4";"";"190,4";"";"g/dia";"OK"
"Treonina";"2,6";"2";"";"129,2";"";"g/dia";"OK"
"Triptofano";"0,6";"0,5";"";"111,1";"";"g/dia";"OK"
"Valina";"3,5";"3,5";"";"100";"";"g/dia";"OK"
