"Descrição dos Alimentos";"Categoria do Alimento";"Formato sugerido";"Quantidade diária (g)";"Quantidade semanal (g)";"Quantidade mensal (g)";"Energia (kcal) no plano";"Proteína (g) no plano";"Carboidrato (g) no plano";"Lipídeos (g) no plano";"Fibra Alimentar (g) no plano";"Sódio (mg) no plano";"Observação prática"
"Doce, de leite, cremoso";"Produtos açucarados";"440 g por dia";"440";"3065";"13140";"1340";"24,1";"260,6";"26,3";"0";"526";"porção diária alta; item denso em açúcar; revisar se quiser um cardápio mais realista"
"Pé-de-moleque, amendoim";"Leguminosas e derivados";"345 g por dia";"345";"2420";"10365";"1738";"45,6";"189";"96,7";"11,7";"55";"porção diária alta"
"Feijão, roxo, cru";"Leguminosas e derivados";"91 g por dia";"91";"635";"2730";"301";"20,2";"54,6";"1,1";"30,8";"9";"peso da TACO pode mudar após preparo"
"Mortadela";"Carnes e derivados";"91 g por dia";"91";"635";"2730";"245";"10,9";"5,3";"19,7";"0";"1103";""
"Tucumã, cru";"Frutas e derivados";"435 g por semana (~62 g/dia)";"62";"435";"1865";"163";"1,3";"16,5";"11,9";"7,9";"2";"peso da TACO pode mudar após preparo"
"Mingau tradicional, pó";"Cereais e derivados";"170 g por semana (~24 g/dia)";"24";"170";"735";"91";"0,1";"21,9";"0,1";"0,2";"4";"peso da TACO pode mudar após preparo"
"Gelatina, sabores variados, pó";"Miscelâneas";"160 g por semana (~23 g/dia)";"23";"160";"675";"86";"2";"20,1";"0";"0";"53";"peso da TACO pode mudar após preparo; item denso em açúcar; revisar se quiser um cardápio mais realista"
"Marmelada";"Produtos açucarados";"150 g por semana (~22 g/dia)";"22";"150";"650";"56";"0,1";"15,4";"0";"0,9";"2";"item denso em açúcar; revisar se quiser um cardápio mais realista"
"Tremoço, cru";"Leguminosas e derivados";"68 g por semana";"9,5";"68";"290";"37";"3,2";"4,2";"1";"3,1";"0";"microquantidade; mais fácil planejar por semana; peso da TACO pode mudar após preparo"
"Linhaça, semente";"Nozes e sementes";"55 g por semana";"8";"55";"235";"39";"1,1";"3,4";"2,6";"2,6";"1";"microquantidade; mais fácil planejar por semana; peso da TACO pode mudar após preparo"
"Acerola, crua";"Frutas e derivados";"50 g por semana";"7";"50";"215";"2";"0,1";"0,6";"0";"0,1";"0";"microquantidade; mais fácil planejar por semana; peso da TACO pode mudar após preparo"
